"state","region","pop","area","density","metro","waste","energy","miles","toxic","green","house","senate","csat","vsat","msat","percent","expense","income","high","college"
"Alabama","South",4041000,52423,77.0800018310547,67.4000015258789,1.11000001430511,393,10500,27.8600006103516,29.25,30,10,991,476,515,8,3627,27498,66.9000015258789,15.6999998092651
"Alaska","West",550000,570374,0.959999978542328,41.0999984741211,0.910000026226044,991,7200,37.4099998474121,NA,0,20,920,439,481,41,8330,48254,86.5999984741211,23
"Arizona","West",3665000,113642,32.25,79,0.790000021457672,258,9700,19.6499996185303,18.3700008392334,13,33,932,442,490,26,4309,32093,78.6999969482422,20.2999992370605
"Arkansas","South",2351000,52075,45.1500015258789,40.0999984741211,0.850000023841858,330,8900,24.6000003814697,26.0400009155273,25,37,1005,482,523,6,3700,24643,66.3000030517578,13.3000001907349
"California","West",29760000,155973,190.800003051758,95.6999969482422,1.50999999046326,246,8700,3.25999999046326,15.6499996185303,50,47,897,415,482,47,4491,41716,76.1999969482422,23.3999996185303
"Colorado","West",3294000,103730,31.7600002288818,81.5,0.730000019073486,273,8300,2.25,21.8899993896484,36,58,959,453,506,29,5064,35123,84.4000015258789,27
"Connecticut","N. East",3287000,4845,678.429992675781,92.4000015258789,0.879999995231628,234,8000,6.48999977111816,14.6300001144409,64,87,897,429,468,81,7602,48618,79.1999969482422,27.2000007629395
"Delaware","South",666000,1955,340.660003662109,66.3000030517578,1.12999999523163,349,9800,9.88000011444092,21.5300006866455,69,83,892,428,464,61,5865,40641,77.5,21.3999996185303
"District of Columbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,840,405,435,71,9259,35807,73.0999984741211,33.2999992370605
"Florida","South",12938000,53997,239.610000610352,90.8000030517578,1.45000004768372,237,8500,8.23999977111816,13.5699996948242,45,47,882,416,466,48,5276,32027,74.4000015258789,18.2999992370605
"Georgia","South",6478000,57919,111.849998474121,65,0.680000007152557,322,11200,12.0200004577637,22.9300003051758,55,50,844,400,444,62,4466,33819,70.9000015258789,19.2999992370605
"Hawaii","West",1108000,6423,172.509994506836,75.5,1.16999995708466,243,7300,0.769999980926514,NA,85,50,883,405,478,55,5166,45248,80.0999984741211,22.8999996185303
"Idaho","West",1007000,82751,12.1700000762939,20.3999996185303,0.839999973773956,354,9800,11.5100002288818,17.0200004577637,43,14,968,463,505,18,3386,29433,79.6999969482422,17.7000007629395
"Illinois","Midwest",11431000,55593,205.619995117188,82.6999969482422,1.27999997138977,308,7300,10.4099998474121,25.7399997711182,52,70,1006,471,535,16,5520,37854,76.1999969482422,21
"Indiana","Midwest",5544000,35870,154.559997558594,68.5,1.02999997138977,446,9700,30.4500007629395,39.0699996948242,55,24,865,408,457,57,4930,33558,75.5999984741211,15.6000003814697
"Iowa","Midwest",2777000,55875,49.7000007629395,44,0.829999983310699,333,8300,14.6499996185303,24.1599998474121,30,53,1093,515,578,5,4679,30565,80.0999984741211,16.8999996185303
"Kansas","Midwest",2478000,81823,30.2800006866455,53.7999992370605,0.970000028610229,423,9200,36.2799987792969,28.3799991607666,34,27,1039,493,546,10,4874,31803,81.3000030517578,21.1000003814697
"Kentucky","South",3685000,39732,92.75,46.5,0.949999988079071,376,9100,11.5100002288818,29.4099998474121,24,10,993,473,520,11,4354,26259,64.5999984741211,13.6000003814697
"Louisiana","South",4220000,43566,96.8600006103516,69.5,0.829999983310699,783,8900,101.279998779297,39.2299995422363,18,17,994,476,518,9,4146,25578,68.3000030517578,16.1000003814697
"Maine","N. East",1228000,30865,39.7900009155273,35.9000015258789,0.769999980926514,309,9700,12.0699996948242,17.1100006103516,81,87,879,421,458,64,5458,32459,78.8000030517578,18.7999992370605
"Maryland","South",4781000,9775,489.100006103516,92.8000030517578,1.07000005245209,268,8500,3.35999989509583,16.8500003814697,61,90,904,429,475,64,6566,45897,78.4000015258789,26.5
"Massachusetts","N. East",6016000,7838,767.539978027344,90.4000015258789,1.12999999523163,229,7700,3.46000003814697,15.2700004577637,78,97,896,426,470,79,6366,43061,80,27.2000007629395
"Michigan","Midwest",9295000,56809,163.619995117188,80.0999984741211,1.25999999046326,298,8700,12.8900003433228,19.6499996185303,54,70,980,461,519,11,5883,36148,76.8000030517578,17.3999996185303
"Minnesota","Midwest",4375000,79617,54.9500007629395,67.6999969482422,1.00999999046326,305,8900,11.8999996185303,19.2999992370605,61,77,1023,480,543,12,5239,36019,82.4000015258789,21.7999992370605
"Mississippi","South",2573000,46914,54.8499984741211,30.1000003814697,0.540000021457672,358,9500,40.2799987792969,19.4799995422363,32,14,997,477,520,4,3187,23465,64.3000030517578,14.6999998092651
"Missouri","Midwest",5117000,68898,74.2699966430664,66.1999969482422,1.47000002861023,294,9900,13.4300003051758,21.9300003051758,39,20,1002,476,526,12,4754,30720,73.9000015258789,17.7999992370605
"Montana","West",799000,145556,5.48999977111816,23.8999996185303,0.75,415,10400,53.4099998474121,32.8300018310547,27,47,982,464,518,22,5204,26788,81,19.7999992370605
"Nebraska","Midwest",1578000,76878,20.5300006866455,48.5,0.819999992847443,334,8800,11.0200004577637,24.75,44,67,1024,481,543,10,5038,30317,81.8000030517578,18.8999996185303
"Nevada","West",1202000,109806,10.9499998092651,82.9000015258789,0.829999983310699,337,8500,2.72000002861023,19.8899993896484,27,60,919,435,484,25,4653,36138,78.8000030517578,15.3000001907349
"New Hampshire","N. East",1109000,8969,123.650001525879,56.0999984741211,0.990000009536743,224,8900,7.48000001907349,14.6199998855591,50,52,921,440,481,75,5672,42335,82.1999969482422,24.3999996185303
"New Jersey","N. East",7730000,7419,1041.92004394531,100,0.920000016689301,296,7600,3.35999989509583,13.8800001144409,69,94,886,417,469,74,8645,47693,76.6999969482422,24.8999996185303
"New Mexico","West",1515000,121365,12.4799995422363,48.4000015258789,0.990000009536743,347,10700,21.5499992370605,35.9599990844727,31,27,996,474,522,12,3895,28069,75.0999984741211,20.3999996185303
"New York","N. East",17990000,47224,380.950012207031,91.0999984741211,1.22000002861023,200,5900,3.35999989509583,12.2299995422363,60,67,881,413,468,75,8565,38415,76.6999969482422,23.1000003814697
"North Carolina","South",6629000,48718,136.070007324219,56.7000007629395,0.910000026226044,300,9500,18.7000007629395,19.4899997711182,45,37,844,400,444,57,4488,31052,70,17.3999996185303
"North Dakota","Midwest",639000,68994,9.26000022888184,40.2999992370605,0.629999995231628,467,9200,3.29999995231628,65.2200012207031,15,54,1073,502,571,6,4199,27051,76.6999969482422,18.1000003814697
"Ohio","Midwest",10847000,40953,264.859985351562,79,1.45000004768372,348,8000,15.5200004577637,23.5100002288818,38,83,946,450,496,22,5245,33452,75.6999969482422,17
"Oklahoma","South",3146000,68679,45.810001373291,59.4000015258789,0.949999988079071,396,10500,10.5299997329712,27.9899997711182,31,20,997,476,521,9,3791,27475,74.5999984741211,17.7999992370605
"Oregon","West",2842000,96003,29.6000003814697,68.5,1.1599999666214,318,9400,7.98999977111816,13.8900003433228,57,20,922,439,483,54,5683,31755,81.5,20.6000003814697
"Pennsylvania","N. East",11882000,44820,265.100006103516,84.8000030517578,0.800000011920929,300,7200,7.51999998092651,21.2199993133545,34,63,876,417,459,67,6541,33875,74.6999969482422,17.8999996185303
"Rhode Island","N. East",1003000,1045,959.809997558594,92.5,1.20000004768372,218,7000,5.25,11.7600002288818,85,90,880,421,459,67,6343,37501,72,21.2999992370605
"South Carolina","South",3487000,30111,115.800003051758,60.5999984741211,1.14999997615814,330,9900,19.2800006866455,17.4400005340576,60,37,832,395,437,58,4351,30597,68.3000030517578,16.6000003814697
"South Dakota","Midwest",696000,75898,9.17000007629395,29.5,1.14999997615814,284,10000,4.21999979019165,22.5499992370605,69,37,1047,496,551,5,3965,26223,77.0999984741211,17.2000007629395
"Tennessee","South",4877000,41220,118.319999694824,67.6999969482422,1.02999997138977,350,9600,42.5400009155273,22.5200004577637,39,63,1015,487,528,12,3782,28908,67.0999984741211,16
"Texas","South",16987000,261914,64.8600006103516,81.5999984741211,1.05999994277954,569,9600,24.6499996185303,27.2600002288818,30,30,874,411,463,44,4438,31482,72.0999984741211,20.2999992370605
"Utah","West",1723000,82168,20.9699993133545,77.5,0.699999988079071,316,8500,72.8000030517578,25.3299999237061,31,13,1031,494,537,5,2960,34342,85.0999984741211,22.2999992370605
"Vermont","N. East",563000,9249,60.8699989318848,23.3999996185303,0.689999997615814,232,10400,1.80999994277954,15.1700000762939,85,94,890,424,466,68,6738,34717,80.8000030517578,24.2999992370605
"Virginia","South",6187000,39598,156.25,72.5,1.45000004768372,306,9700,12.8699998855591,18.7199993133545,33,54,890,424,466,60,4836,38838,75.1999969482422,24.5
"Washington","West",4867000,66582,73.0999984741211,81.6999969482422,1.04999995231628,389,9200,8.51000022888184,16.5100002288818,52,64,913,433,480,49,5000,36338,83.8000030517578,22.8999996185303
"West Virginia","South",1793000,24087,74.4400024414062,36.4000015258789,0.949999988079071,415,8600,21.2999992370605,51.1399993896484,48,57,926,441,485,17,4911,24233,66,12.3000001907349
"Wisconsin","Midwest",4892000,54314,90.0699996948242,67.4000015258789,0.699999988079071,288,9100,9.19999980926514,20.5799999237061,47,57,1023,481,542,11,5871,34309,78.5999984741211,17.7000007629395
"Wyoming","West",454000,97105,4.67999982833862,29.6000003814697,0.699999988079071,786,12800,25.5100002288818,114.400001525879,0,10,980,466,514,13,5723,31576,83,18.7999992370605
