v1,v2,v3,v4,v5,v6,v7
2,64,8,2,.i,3,"north"
5,36,16,1,18,.i,"north"
4,65,9,1,26,.i,"north"
3,59,16,1,18,.i,"north"
3,54,15,1,19,2,"north"
5,18,12,1,1,.i,"north"
1,34,12,2,12,2,"north"
1,26,14,1,20,.i,"north"
1,55,13,2,.i,1,"north"
5,24,16,2,3,.i,"north"
5,26,19,1,6,2,"north"
5,22,12,1,26,.i,"north"
5,21,15,2,3,1,"north"
4,53,14,2,.i,.i,"north"
1,53,18,1,17,2,"north"
3,35,12,1,18,.i,"north"
5,27,16,1,16,2,"north"
1,50,14,2,17,.i,"north"
3,44,19,1,19,.i,"north"
5,22,15,1,12,1,"north"
5,29,10,2,7,2,"north"
1,30,11,2,1,2,"north"
5,37,11,2,.i,3,"north"
2,86,14,2,.i,.i,"north"
5,32,12,2,.i,.i,"north"
5,23,16,1,17,2,"north"
4,36,13,2,.i,2,"north"
1,57,14,1,19,2,"north"
1,40,8,1,17,2,"north"
5,31,12,2,11,2,"north"
1,57,12,1,21,1,"north"
5,33,8,2,4,3,"north"
1,40,14,2,4,2,"north"
1,61,12,1,17,2,"north"
1,27,14,1,16,.i,"north"
4,43,13,2,16,1,"north"
5,41,6,1,16,2,"north"
1,55,2,2,11,2,"north"
3,40,12,2,13,.i,"north"
3,44,14,1,26,2,"north"
1,59,16,1,.i,.i,"north"
5,33,12,2,11,.i,"north"
3,33,14,2,.i,2,"north"
1,20,12,2,26,2,"north"
3,42,12,1,16,1,"north"
1,25,8,2,2,2,"north"
3,39,12,1,20,2,"north"
1,45,12,2,15,1,"north"
1,40,16,2,11,.i,"north"
3,70,13,2,.i,1,"north"
1,85,14,2,.i,.i,"north"
1,72,13,1,.i,2,"north"
1,63,15,1,24,1,"north"
1,39,13,1,18,2,"north"
1,48,18,2,14,.i,"north"
3,33,13,2,12,.i,"north"
5,30,11,2,.i,1,"north"
5,28,14,2,26,1,"north"
2,81,16,2,.i,.i,"north"
1,45,13,1,14,2,"north"
3,54,15,1,26,3,"north"
3,41,19,2,13,2,"north"
1,36,18,1,.i,3,"north"
1,38,14,2,16,1,"north"
3,60,13,2,14,.i,"north"
5,27,14,2,2,2,"north"
1,45,14,2,.i,2,"north"
3,33,8,1,11,.i,"north"
3,46,12,2,26,.i,"north"
1,36,20,2,19,1,"north"
2,89,11,2,.i,.i,"north"
3,52,14,2,26,2,"north"
1,42,17,2,9,2,"north"
1,63,19,1,20,.i,"north"
1,54,18,1,26,1,"north"
1,65,12,2,13,1,"north"
1,50,16,1,18,.i,"north"
3,40,12,2,11,.i,"north"
1,50,17,1,23,2,"north"
1,66,10,1,.i,2,"north"
5,47,13,1,18,1,"north"
5,42,15,2,18,.i,"north"
4,33,14,2,15,2,"north"
5,36,13,1,15,2,"north"
1,47,16,2,.i,.i,"north"
5,18,11,2,1,2,"north"
3,48,16,2,.i,3,"north"
2,66,7,2,.i,3,"north"
1,32,16,2,.i,.i,"north"
2,66,12,2,.i,1,"north"
5,25,16,2,26,.i,"north"
1,35,14,1,21,.i,"north"
1,52,14,2,14,2,"north"
4,51,10,1,.i,3,"north"
3,38,17,2,.i,1,"north"
1,85,8,1,.i,.i,"north"
1,47,15,1,26,2,"north"
5,37,14,1,19,2,"north"
1,55,19,1,20,2,"north"
3,58,16,1,22,2,"south"
5,51,11,2,.i,2,"south"
5,43,16,1,18,3,"south"
1,77,16,1,.i,1,"south"
5,23,12,2,11,.i,"south"
5,20,12,1,5,.i,"south"
5,50,18,2,18,2,"south"
1,24,16,2,17,1,"south"
1,55,13,2,18,2,"south"
5,41,17,2,17,.i,"south"
1,67,14,1,20,.i,"south"
3,64,12,2,8,.i,"south"
3,42,11,1,.i,.i,"south"
1,55,16,2,14,2,"south"
1,60,14,2,26,.i,"south"
1,47,12,2,11,.i,"south"
1,42,14,2,4,.i,"south"
5,50,16,2,19,2,"south"
5,30,15,1,16,.i,"south"
2,51,14,2,26,.i,"south"
1,56,12,2,.i,2,"south"
1,48,13,2,.i,2,"south"
2,55,14,2,10,.i,"south"
3,40,18,2,19,1,"south"
1,40,9,2,12,.i,"south"
1,48,18,1,18,.i,"south"
1,51,16,2,18,1,"south"
2,82,12,2,.i,1,"south"
1,34,12,1,17,3,"south"
5,40,14,2,14,2,"south"
1,34,17,1,20,.i,"south"
1,29,13,1,26,2,"south"
3,40,13,2,14,2,"south"
1,36,12,1,20,2,"south"
3,29,15,2,12,.i,"south"
1,77,13,2,4,2,"south"
1,36,9,2,.i,.i,"south"
1,30,13,1,.i,.i,"south"
1,32,12,2,15,.i,"south"
3,48,12,1,15,2,"south"
2,76,12,2,.i,2,"south"
1,36,14,1,17,1,"south"
1,34,12,1,18,1,"south"
5,41,8,1,16,2,"south"
1,25,13,2,.i,1,"south"
1,27,13,2,.i,2,"south"
3,59,6,1,10,2,"south"
1,58,12,2,4,2,"south"
4,40,12,1,13,.i,"south"
1,58,14,1,23,1,"south"
3,25,13,1,18,3,"south"
5,52,18,1,25,2,"south"
1,76,12,2,.i,.i,"south"
1,25,4,2,.i,1,"south"
1,26,16,1,19,1,"south"
1,47,12,1,16,2,"south"
3,45,14,2,9,.i,"south"
1,28,9,2,.i,2,"south"
1,43,14,2,15,2,"south"
1,60,12,2,17,2,"south"
5,68,16,1,.i,3,"south"
4,60,13,1,19,2,"south"
1,62,14,2,.i,1,"south"
5,37,10,2,5,1,"south"
5,63,13,1,.i,2,"south"
5,74,10,1,.i,.i,"south"
5,42,9,1,7,3,"south"
4,48,9,1,13,3,"south"
3,63,16,2,4,1,"south"
1,40,16,2,21,.i,"south"
5,36,18,1,26,1,"south"
3,74,14,2,17,1,"south"
1,53,13,1,11,.i,"south"
2,82,16,1,.i,2,"south"
1,32,13,1,18,1,"south"
1,47,12,2,15,.i,"south"
3,58,12,2,.i,2,"south"
5,31,12,2,18,.i,"south"
1,45,12,1,26,2,"south"
1,73,8,1,.i,2,"south"
1,35,12,1,18,2,"south"
1,67,11,1,.i,1,"south"
1,48,18,2,.i,1,"south"
5,20,12,1,8,2,"south"
5,18,11,2,2,2,"south"
5,36,17,1,20,.i,"south"
1,34,12,2,20,.i,"south"
5,51,16,2,16,2,"south"
1,71,12,1,.i,2,"south"
3,35,12,2,9,2,"south"
3,63,0,1,.i,3,"south"
1,70,11,2,.i,2,"south"
3,46,14,1,25,1,"south"
4,33,14,1,26,2,"south"
3,39,15,1,20,.i,"south"
1,49,12,1,13,2,"south"
1,39,16,2,17,2,"south"
1,27,15,2,.i,.i,"south"
1,24,14,2,2,1,"south"
1,61,1,2,1,3,"south"
3,28,12,1,5,2,"east"
5,47,0,1,10,.i,"east"
1,46,13,2,26,.i,"east"
2,89,12,2,.i,.i,"east"
5,38,18,1,16,1,"east"
1,37,16,2,1,.i,"east"
1,48,14,2,26,2,"east"
1,39,13,2,26,2,"east"
5,47,12,1,.i,2,"east"
1,60,18,2,26,1,"east"
1,26,12,2,12,2,"east"
4,62,14,1,22,2,"east"
5,39,17,2,20,2,"east"
5,48,12,1,19,2,"east"
3,48,12,1,17,2,"east"
1,51,14,2,19,2,"east"
1,40,16,2,16,.i,"east"
3,.n,12,1,26,2,"east"
5,63,12,1,.i,3,"east"
1,34,12,1,17,2,"east"
2,59,11,2,17,1,"east"
1,59,17,1,25,.i,"east"
1,52,16,2,23,.i,"east"
1,87,15,1,.i,2,"east"
3,56,12,2,.i,.i,"east"
5,19,13,1,8,2,"east"
1,75,20,1,.i,1,"east"
1,89,16,2,.i,1,"east"
5,26,13,2,10,2,"east"
3,45,12,1,17,2,"east"
4,27,6,1,18,3,"east"
1,44,19,2,2,3,"east"
5,41,15,1,18,3,"east"
3,68,16,1,21,1,"east"
1,54,12,1,.i,3,"east"
3,52,12,1,10,1,"east"
5,33,12,1,.i,2,"east"
1,44,18,2,19,2,"east"
1,53,12,1,18,.i,"east"
2,79,10,2,.i,2,"east"
1,70,16,1,16,.i,"east"
3,58,12,2,17,.i,"east"
1,55,16,1,22,3,"east"
2,51,15,1,20,1,"east"
1,46,12,1,20,2,"east"
5,19,12,1,9,2,"east"
4,30,14,2,9,2,"east"
3,46,14,2,11,2,"east"
3,56,11,2,15,1,"east"
5,46,12,1,10,2,"east"
3,66,10,2,.i,1,"east"
1,34,17,1,21,2,"east"
3,70,15,2,.i,1,"east"
5,24,15,1,8,1,"east"
5,36,12,1,17,1,"east"
1,42,17,2,6,2,"east"
1,38,12,2,14,.i,"east"
5,22,13,2,4,2,"east"
1,58,12,2,26,.i,"east"
1,68,15,1,.i,.i,"east"
3,65,12,1,16,.i,"east"
1,40,11,1,11,.i,"east"
5,25,15,2,.i,2,"east"
5,22,9,2,5,3,"east"
1,45,16,1,25,1,"east"
1,57,16,1,21,.i,"east"
4,23,12,2,.i,2,"east"
1,80,14,2,.i,.i,"east"
1,34,14,2,17,.i,"east"
3,54,17,2,17,2,"east"
5,69,20,1,.i,1,"east"
3,55,13,1,25,2,"east"
5,22,16,2,2,3,"east"
5,30,11,2,.i,3,"east"
1,36,20,1,18,2,"east"
5,22,12,2,10,3,"east"
1,35,12,1,15,2,"east"
3,23,16,1,.i,.i,"east"
1,36,13,2,18,2,"east"
1,62,12,2,.i,2,"east"
5,41,14,1,13,2,"east"
3,34,11,2,13,2,"east"
5,28,10,1,10,1,"east"
1,53,12,2,.i,2,"east"
5,25,14,1,13,3,"east"
1,36,6,1,11,.i,"east"
1,50,10,2,.i,2,"east"
1,30,16,2,16,2,"east"
1,72,11,2,.i,.i,"east"
1,53,12,2,21,.i,"east"
1,45,20,1,25,1,"east"
1,40,10,1,18,2,"east"
1,61,13,2,19,1,"east"
5,18,13,1,1,.i,"east"
1,32,9,1,.i,2,"east"
1,48,16,2,.i,.i,"east"
3,37,17,2,17,2,"east"
1,59,4,1,.d,2,"east"
1,53,12,1,25,2,"east"
5,32,14,2,2,.i,"east"
5,25,14,2,26,.i,"west"
5,22,12,2,13,2,"west"
1,64,16,1,1,3,"west"
2,84,2,2,.i,3,"west"
1,70,12,1,5,1,"west"
3,59,14,1,.i,1,"west"
1,73,12,1,.i,2,"west"
3,63,15,2,9,.i,"west"
3,51,14,2,20,2,"west"
5,36,12,1,19,1,"west"
1,35,2,2,15,1,"west"
1,48,16,2,.i,.i,"west"
1,81,13,2,.i,3,"west"
1,31,16,1,13,1,"west"
1,28,16,2,26,1,"west"
5,36,14,1,7,2,"west"
1,42,11,1,17,1,"west"
3,40,18,2,.i,.i,"west"
5,58,20,2,19,1,"west"
1,33,11,1,15,2,"west"
1,47,6,1,16,2,"west"
1,66,9,2,.i,1,"west"
1,76,16,1,.i,.i,"west"
1,29,12,2,.i,1,"west"
1,27,17,2,16,1,"west"
1,66,16,1,.i,1,"west"
1,58,12,2,.i,2,"west"
3,64,14,2,.i,.i,"west"
1,34,13,1,17,2,"west"
3,38,12,2,9,3,"west"
2,60,12,2,14,.i,"west"
2,72,9,2,.i,2,"west"
1,34,16,1,26,1,"west"
1,28,19,1,19,2,"west"
1,64,12,2,.i,2,"west"
1,65,9,2,.i,2,"west"
1,48,16,2,8,1,"west"
5,29,12,2,15,.i,"west"
1,74,14,2,.i,1,"west"
5,21,12,2,7,.i,"west"
1,37,12,1,18,2,"west"
5,51,8,1,.i,3,"west"
3,60,16,1,.i,1,"west"
3,52,2,1,3,.i,"west"
1,42,15,2,18,.i,"west"
5,19,10,2,.d,.i,"west"
1,36,13,2,19,1,"west"
1,34,16,1,21,1,"west"
4,39,12,1,.i,1,"west"
5,28,16,2,14,2,"west"
1,42,13,2,11,1,"west"
2,59,12,1,22,2,"west"
5,28,18,2,18,1,"west"
1,26,19,2,16,1,"west"
1,32,15,2,2,1,"west"
1,45,16,1,18,1,"west"
1,58,12,1,.i,.i,"west"
5,43,16,2,.i,.i,"west"
5,24,16,2,.i,.i,"west"
1,47,18,1,18,.i,"west"
2,80,12,2,.i,.i,"west"
1,43,13,2,7,2,"west"
1,50,13,1,11,3,"west"
1,34,14,2,.i,1,"west"
1,32,12,2,6,.i,"west"
5,23,9,2,.i,2,"west"
1,61,14,2,.i,.i,"west"
1,45,12,1,25,.i,"west"
4,44,12,2,26,.i,"west"
3,29,11,1,.i,.i,"west"
5,20,10,2,9,.i,"west"
5,41,16,2,21,.i,"west"
1,72,16,2,.i,2,"west"
3,56,16,1,20,3,"west"
1,49,12,2,26,2,"west"
5,35,15,1,10,2,"west"
3,61,13,2,.i,2,"west"
3,27,15,2,2,.i,"west"
2,62,12,2,8,2,"west"
5,23,14,1,9,2,"west"
5,33,11,1,10,2,"west"
3,66,5,1,.i,2,"west"
1,23,13,2,10,1,"west"
5,30,20,1,18,2,"west"
1,29,14,2,18,2,"west"
5,28,16,2,6,1,"west"
3,40,12,1,18,2,"west"
1,56,12,1,1,.i,"west"
3,28,13,2,17,.i,"west"
3,43,12,1,14,2,"west"
1,53,12,2,.i,.i,"west"
1,35,12,1,26,.i,"west"
1,34,16,2,18,.i,"west"
3,41,14,1,14,2,"west"
3,47,12,1,19,.i,"west"
5,34,15,2,26,2,"west"
3,44,11,1,.i,2,"west"
5,36,11,2,.i,2,"west"
1,38,13,2,15,1,"west"
1,54,16,1,26,1,"west"
1,54,6,2,.i,2,"west"
1,29,16,2,16,.i,"west"
1,55,12,1,.i,.i,"west"
1,49,13,2,26,.i,"west"
3,59,11,2,26,2,"west"
3,53,12,2,19,.i,"west"
2,65,12,2,10,2,"west"
1,24,10,1,13,2,"west"
1,52,11,2,26,.i,"west"
3,28,11,1,16,3,"west"
1,22,13,2,6,1,"west"
3,50,20,2,17,.i,"west"
5,41,12,2,26,2,"west"
1,36,10,1,17,.i,"west"
5,29,12,2,12,3,"west"
2,61,12,2,9,2,"west"
5,27,14,2,.i,2,"west"
5,67,18,2,.i,2,"west"
3,51,10,1,.i,2,"west"
2,78,13,2,.i,3,"west"
3,59,13,1,.i,2,"west"
1,66,14,1,1,.i,"west"
5,34,12,1,15,.i,"west"
3,45,12,1,18,.i,"west"
3,50,13,2,16,.i,"west"
1,66,16,2,.i,1,"west"
5,21,12,1,13,2,"west"
1,26,12,1,15,2,"west"
1,43,12,2,.i,1,"west"
3,33,10,2,26,3,"west"
1,28,16,1,18,1,"west"
1,62,14,1,18,.i,"west"
2,65,14,2,.i,.i,"west"
1,48,12,2,14,1,"west"
5,31,12,2,.i,2,"west"
3,52,16,2,.i,.i,"west"
1,42,16,1,.i,2,"west"
1,69,12,2,16,.i,"west"
1,49,12,1,22,2,"west"
1,57,17,1,26,1,"west"
1,48,10,2,16,.i,"west"
3,65,18,1,.i,1,"west"
1,44,16,2,.i,1,"west"
1,59,12,1,20,2,"west"
5,31,14,2,18,2,"west"
3,58,16,1,.i,2,"west"
1,71,11,2,.i,2,"west"
3,30,17,2,8,2,"west"
1,76,20,2,.i,1,"west"
3,46,14,2,10,2,"west"
4,72,8,2,.i,3,"west"
4,36,12,2,3,2,"west"
