StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q23,Q25,Q28,Q29,Q30_1,Q30_2,Q30_3,Q30_4,Q32,Q31
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Location Latitude,Location Longitude,Distribution Channel,User Language,What is your field of study?,What is your position?,How often do you analyze or otherwise work with quantitative data?,Which of these programs or languages do you use?,"Click to write the question text - Caption Generation: automated acquisition of visual contents (eg. objects,  text, facial features and emotion) from images using Python APIs",Click to write the question text - Speech Recognition: automated conversion of audio file to text,Click to write the question text - Text Classification (e.g. detect languages from text),"Click to write the question text - Text Analysis: sentiment analysis, key phrases and topic modelling",What are the most recent data science techniques applied in your field? Would you be interested in knowing more?,Are there other machine learning/deep learning topics you are interested in?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID64_TEXT""}","{""ImportId"":""QID66""}","{""ImportId"":""QID69""}","{""ImportId"":""QID70""}","{""ImportId"":""QID71_1""}","{""ImportId"":""QID71_2""}","{""ImportId"":""QID71_3""}","{""ImportId"":""QID71_4""}","{""ImportId"":""QID73_TEXT""}","{""ImportId"":""QID72_TEXT""}"
7/12/2018 7:54,7/12/2018 7:55,IP Address,100,56,TRUE,7/12/2018 7:55,R_2cilxcLtdzdVEX2,51.53329468,-0.100006104,email,EN,Health Policy,Graduate Student,Every week,Python,Not Interested,Not Interested,Not Interested,Interested,,
7/12/2018 7:55,7/12/2018 7:59,IP Address,100,263,TRUE,7/12/2018 7:59,R_2pY5sabFbecacwx,42.38000488,-71.13289642,email,ZH-S,urban planning,Graduate Student,Only when I have to,Stata,Not Interested,Very Interested,Not Interested,Very Interested,"STATA. Yes, I would be very interested in knowing more.",Content analysis of documents; Coding of interview notes
7/12/2018 8:00,7/12/2018 8:04,IP Address,100,194,TRUE,7/12/2018 8:04,R_32Yi1B9bvRM1tMA,42.38000488,-71.13289642,email,EN,Library and Information Science,Staff member,Every day,SAS,Very Interested,Very Interested,Very Interested,Very Interested,Unsure. I don't read literature in my field on a routine basis.,Convolutional Neutral Network processing 
7/12/2018 8:04,7/12/2018 8:06,IP Address,100,131,TRUE,7/12/2018 8:06,R_Uin7b9H2mctz7Dr,42.40190125,-71.11930084,email,EN,research,Staff member,Every day,R,Very Interested,Interested,Very Interested,Very Interested,,
7/12/2018 8:06,7/12/2018 8:07,IP Address,100,60,TRUE,7/12/2018 8:07,R_Ab0pnpPIoxVjgKB,37.74839783,-122.4156036,email,EN,Sociology,Graduate Student,Only when I have to,R,Not Interested,Not Interested,Not Interested,Interested,,
7/12/2018 8:06,7/12/2018 8:08,IP Address,100,116,TRUE,7/12/2018 8:08,R_2c5GOw0pfwjkQOs,42.38000488,-71.13289642,email,EN,Economics and Strategy,Staff member,Every month,Stata,Not Interested,Somehow interested,Not Interested,Interested,Statistical Inference,
7/12/2018 8:17,7/12/2018 8:18,IP Address,100,71,TRUE,7/12/2018 8:18,R_1Ntfc0fNwyIJSpM,42.38279724,-71.09549713,email,EN,Curriculum development,Staff member,Only when I have to,Excel,Very Interested,Not Interested,Somehow interested,Very Interested,,
7/12/2018 8:27,7/12/2018 8:33,IP Address,100,320,TRUE,7/12/2018 8:33,R_2YqOMgeFFD8YfFK,42.40190125,-71.11930084,email,EN,"Economics, Business",Staff member,Every day,"Excel,Python,R,SAS,Stata",Interested,Somehow interested,Interested,Very Interested,Machine learning for identifying statistical models and yes,Machine learning for identifying statistical models
7/12/2018 8:44,7/12/2018 8:47,IP Address,100,154,TRUE,7/12/2018 8:47,R_3CQoXY7dgcFXjy3,42.81350708,-70.88600159,email,EN,Sociology ,Graduate Student,Every day,Stata,Somehow interested,Very Interested,Somehow interested,Very Interested,,
7/12/2018 8:47,7/12/2018 8:48,IP Address,100,61,TRUE,7/12/2018 8:48,R_2Xj1Jc2VOdp8hcl,42.34240723,-71.08779907,email,EN,statistics ,Staff member,Every day,SAS,Very Interested,Very Interested,Very Interested,Very Interested,,
7/12/2018 8:49,7/12/2018 8:54,IP Address,100,321,TRUE,7/12/2018 8:54,R_2zp9gMli3kWL7V2,42.38000488,-71.13289642,email,ES,Public Policy,Graduate Student,Every month,"Excel,R,Stata",Very Interested,Not Interested,Not Interested,Very Interested,Visualizations using SQL; Tableau,Predictive Analytics
7/12/2018 9:08,7/12/2018 9:09,IP Address,100,62,TRUE,7/12/2018 9:09,R_3lDFR2tTGzXVQlU,42.34509277,-71.09929657,email,EN,Health Policy,Graduate Student,Every day,"Excel,R,Stata",Not Interested,Not Interested,Very Interested,Very Interested,,
7/12/2018 8:14,7/12/2018 9:12,IP Address,100,3436,TRUE,7/12/2018 9:12,R_UiGvAFZExdJPHbP,42.38000488,-71.13289642,email,DE,entrepreneurship,Visiting Scholar,Every week,"Excel,SPSS",Very Interested,Very Interested,Interested,Interested,heart rate and sweating with sensors,yes
7/12/2018 9:09,7/12/2018 9:15,IP Address,100,363,TRUE,7/12/2018 9:15,R_7VbDGVYwSzvtjwJ,42.36459351,-71.10279846,email,EN,Linguistics,Graduate Student,Every day,"Excel,Python",Not Interested,Interested,Very Interested,Very Interested,LSTMs among many more natural language modeling techniques that I would love to learn about,"text analytics, LSTMs"
7/12/2018 8:58,7/12/2018 9:45,IP Address,100,2818,TRUE,7/12/2018 9:45,R_3HhNiTY4IkHUZZG,42.38000488,-71.13289642,email,EN,Education policy,Graduate Student,Every week,"Excel,R,Stata",Not Interested,Not Interested,Not Interested,Not Interested,,
7/12/2018 9:46,7/12/2018 9:49,IP Address,100,180,TRUE,7/12/2018 9:49,R_8tYDXGmaFaEqZYR,42.38000488,-71.13289642,email,EN,sociology,Graduate Student,Every day,"Excel,Python,R,Stata",Not Interested,Not Interested,Interested,Very Interested,"From above, text analysis is the most relevant. In general, all sorts of regression analyses are.",I have high interest in learning machine learning in the context of social science research.
7/12/2018 9:57,7/12/2018 10:04,IP Address,100,404,TRUE,7/12/2018 10:04,R_2CeliLdv4xtTGaX,42.38000488,-71.13289642,email,EN,"PhD, Education",Graduate Student,Every day,"Matlab,SPSS,Stata",Very Interested,Very Interested,Somehow interested,Very Interested,"social network analysis - SIENA, cross-sectional and longitudinal","algorithm development, social media content analysis"
7/12/2018 10:51,7/12/2018 10:52,IP Address,100,42,TRUE,7/12/2018 10:52,R_1gNGlDxSOVIc3lv,32.76570129,-96.73639679,email,EN,cardiovascular nutrition epidemiology,Professor,Only when I have to,"Excel,Python,R,SAS,SPSS,Stata",Interested,Interested,Interested,Interested,,
7/12/2018 10:54,7/12/2018 10:55,IP Address,100,100,TRUE,7/12/2018 10:55,R_72l1BaIIPc0Cuwp,42.38000488,-71.13289642,email,EN,Political Science,Graduate Student,Every day,"Python,R,Stata",Not Interested,Not Interested,Not Interested,Interested,"cloud computing, database management, Rcpp",data-intensive clustering methods
7/12/2018 10:56,7/12/2018 10:57,IP Address,100,65,TRUE,7/12/2018 10:57,R_8wRudETQuwXOh21,28.6000061,77.20001221,email,EN,Business Management,Graduate Student,Every week,"Excel,R,Other",Interested,Somehow interested,Very Interested,,,
7/12/2018 11:18,7/12/2018 11:23,IP Address,100,298,TRUE,7/12/2018 11:23,R_VOSBimC1oARyCY1,52.47639465,13.42199707,email,DE,Neuroscience ,Postdoctoral researcher,Every month,"Excel,Matlab,Python,R,Other",Interested,Not Interested,Not Interested,Not Interested,,
7/12/2018 11:33,7/12/2018 11:34,IP Address,100,71,TRUE,7/12/2018 11:34,R_3KJcpkGO9Eav1is,42.40190125,-71.11930084,email,EN,,Staff member,Every month,Excel,Somehow interested,Somehow interested,Not Interested,Interested,,
7/12/2018 11:38,7/12/2018 11:41,IP Address,100,132,TRUE,7/12/2018 11:41,R_3OemluoqWXGiSe9,33.46270752,-111.9856033,email,EN,Public Policy,Graduate Student,Every day,"Excel,Python,Stata",Somehow interested,Somehow interested,Somehow interested,Very Interested,much more emphasis on data visualization,"epidemic modeling, financial forecasting modeling"
7/12/2018 12:03,7/12/2018 12:05,IP Address,100,96,TRUE,7/12/2018 12:05,R_8qW6pKXhzX18Yw1,42.38000488,-71.13289642,email,EN,Education policy,Staff member,Every day,Stata,Not Interested,Not Interested,Not Interested,Not Interested,GIS,
7/12/2018 12:11,7/12/2018 12:19,IP Address,100,479,TRUE,7/12/2018 12:19,R_3Dov2LmGqTDrZqS,42.36459351,-71.10279846,email,EN,Public Policy,Graduate Student,Every month,"Excel,Python,R,Stata",Not Interested,Very Interested,Somehow interested,Very Interested,,
7/12/2018 12:30,7/12/2018 12:33,IP Address,100,133,TRUE,7/12/2018 12:33,R_vizTJv0vvl7RgrL,42.38000488,-71.13289642,email,EN,Sociology,Graduate Student,Every day,Stata,Not Interested,Not Interested,Somehow interested,Interested,,
7/12/2018 12:14,7/12/2018 12:33,IP Address,100,1148,TRUE,7/12/2018 12:33,R_1mLtTeYHlYV7FIB,42.36459351,-71.10279846,email,EN,Financial Econ,Graduate Student,Every day,"Excel,Matlab,Python,R,SAS,Stata",Very Interested,Not Interested,Very Interested,Very Interested,"NLP, Sentence Analysis",
7/12/2018 13:04,7/12/2018 13:13,IP Address,100,516,TRUE,7/12/2018 13:13,R_8cr4UyqC1UNJNvP,42.38000488,-71.13289642,email,EN,Education Policy and Research ,Staff member,Every day,"Excel,Stata",Not Interested,Not Interested,Not Interested,Somehow interested,"Regression Analysis, Bayesian Statistics ",Not at this time
7/12/2018 13:15,7/12/2018 13:18,IP Address,100,194,TRUE,7/12/2018 13:18,R_2V1SjHCre3t9VDM,40.74819946,-73.90679932,email,EN,International and Global Affairs (HKS),Graduate Student,Every month,"Excel,Python,Stata",Not Interested,Somehow interested,Somehow interested,Interested,,
7/12/2018 14:43,7/12/2018 14:45,IP Address,100,103,TRUE,7/12/2018 14:45,R_BKaUKd0fiMhLYo9,31.21560669,29.95530701,email,DE,Economics,Visiting Scholar,Every week,"Excel,Stata",Not Interested,Very Interested,Very Interested,Very Interested,text analysis,
7/12/2018 15:19,7/12/2018 15:20,IP Address,100,71,TRUE,7/12/2018 15:20,R_1N5pXTYEkev0pu8,38.94250488,-95.68699646,email,EN,public policy,Graduate Student,Every week,"Excel,Python,Stata",Interested,Not Interested,,Interested,web scraping/machine learning - yes,
7/12/2018 15:50,7/12/2018 15:53,IP Address,100,195,TRUE,7/12/2018 15:53,R_1HdAMufoLqTeP1s,38.91419983,-104.7749023,email,EN,Business,Graduate Student,Every week,"Excel,R",Not Interested,Not Interested,Not Interested,Not Interested,,
7/12/2018 11:47,7/12/2018 19:24,IP Address,100,27422,TRUE,7/12/2018 19:24,R_3Ge6QuxrtPUPaBv,42.36459351,-71.10279846,email,EN,Clinical Research,Graduate Student,Every day,"Access, FileMaker, or other database,Python,R",Very Interested,Very Interested,Very Interested,Very Interested,Machine learning/Reinforcement learning ,Omics data analysis
7/12/2018 20:40,7/12/2018 20:41,IP Address,100,81,TRUE,7/12/2018 20:41,R_2dt2slK1S3BtVGP,42.33309937,-71.09570313,email,EN,Anthropology,Undergraduate Student,Every week,"Excel,Python,Stata",Somehow interested,Somehow interested,Somehow interested,Somehow interested,Using Python to automate GIS processes,
7/13/2018 8:39,7/13/2018 8:40,IP Address,100,50,TRUE,7/13/2018 8:40,R_20P4fsahIRYEmqm,42.38000488,-71.13289642,email,EN,Biology,Staff member,Every day,"Access, FileMaker, or other database,Excel,R",,,,Very Interested,,
7/13/2018 10:51,7/13/2018 10:52,IP Address,100,103,TRUE,7/13/2018 10:52,R_29hUeOpnKfdcw3L,42.36459351,-71.10279846,email,EN,Economics,Staff member,Every week,"Excel,R,Stata",Not Interested,Not Interested,Interested,Interested,scanning personal identifiable information in multiple datasets,
7/14/2018 11:30,7/14/2018 11:32,IP Address,100,87,TRUE,7/14/2018 11:32,R_2V7qaqXfuZtXQ7e,49.16090393,-123.9824982,email,EN,batteries,Graduate Student,Every day,Python,Very Interested,Interested,Somehow interested,Somehow interested,,
7/16/2018 6:54,7/16/2018 6:56,IP Address,100,169,TRUE,7/16/2018 6:56,R_3ikfM2baIXYLWkf,40.75280762,-73.97250366,email,EN,Statistics,Undergraduate Student,Every day,"Excel,Python,R,Other",Somehow interested,Somehow interested,Somehow interested,Somehow interested,Probably a variety of ML and numerical methods,None in particular jump out but I'm generally interested in the subject area
7/16/2018 7:24,7/16/2018 7:25,IP Address,100,60,TRUE,7/16/2018 7:25,R_3J3H23xM3YGlav6,42.36459351,-71.10279846,email,EN,Economics and Philosophy,Undergraduate Student,Every week,"Excel,Stata",Not Interested,Not Interested,Not Interested,Very Interested,,
